,,,,,,,,,,,,,
,,,,,,,,,,,,Dashboard,x
,,,,,,,,,,,,"Report as of October 1, 2025",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Open Opportunities Value,,,"2,294,550 ",,,,Contacts,Interactions,Opps Pursued,Opps Closed,Win Rate,
,Potential Value,,,"8,029,000 ",,,,19,62,18,2,11.1%,
,,,,,,,,,,,,,
,Opportunities by Stage,,,,,,"Interactions, Last Quarter",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Potential Revenue by Stage, Next 2 Quarters",,,,,,"Potential vs. Probable Revenue, Next 2 Quarters",,,,,,
